#2 v abc;0\2VABC_27431_01.zip
$#!7;0\__!7_26863_01.zip
$1,000,000;0\1000000_16523_01.zip
$100 Box;0\100BOX_27423_01.zip
$100,000 Pyramid, The;0\100KPYRA_00001_01.zip
$2000-$3FFF;0\20003FFF_25765_01.zip
...sein letzter Trick;0\SEINLETZ_16236_01.zip
:10;0\_10_26861_01.zip
0 and X;0\0ANDX_09437_01.zip
0 Nord;0\0GRADNO0_08873_03.zip
000 White Dash;0\000WHITE_26153_01.zip
0013;0\0013_11630_01.zip
007 - The Quiz;
007 Car Chase;0\007CARCH_09892_01.zip
007 Ja Tohtori Ei;0\007JATOH_20041_01.zip
'04 Lucky Poker Game, The;0\2004LUCK_22859_01.zip
1 Block Snake;0\1BLOCKSN_19079_01.zip
1 x 1 Kampf;0\1X1KAMPF_13808_01.zip
1, 2, 3;0\1-2-3_10732_01.zip
1,000 Kung-Fu Maniacs!;0\1000KFM_22651_02.zip
10 Blob;0\10BLOB_30069_01.zip
10 Pin;0\10PIN_13849_01.zip
10 RUN10 - An Endless Runner Game;0\10RUN10_26354_01.zip
10... Knockout!;0\10KNOCKO_00003_01.zip
100 - Hack the System;0\100_30105_01.zip
100 Meter Dash;0\100MDASH_00004_01.zip
100 Mile Race;0\100MILER_00005_01.zip
100 Racchette;0\100RACCH_22034_01.zip
1000 Miglia Volume I - 1927-1933;0\1000MIGL_00006_01.zip
1000 Miler;0\1000MIL1_12668_01.zip
1000 Miler v2.0;0\1000MIL2_13365_01.zip
1000 Miles;0\1000MILE_24256_01.zip
1000 Miles;0\1000MILE_00007_01.zip
10000 Meters;0\10000MET_14450_01.zip
105 - One Oh Five;0\105_28287_01.zip
10k;0\10K_21746_01.zip
10Liner-Golf;0\10L-GOLF_28499_01.zip
10Lines Adv;0\10LINESA_28525_01.zip
10-Pin Bowling;0\10PINBOW_00002_01.zip
10PRINT Racer Revamp;0\10PRINTR_29376_01.zip
10tex;0\10TEX_30068_01.zip
10th Frame;0\10THFRAM_00008_01.zip
10x10!;0\10X10!_28928_01.zip
1-2-3...;0\1-2-3A_18618_01.zip
1337 Karate - Premium Deluxe Pro;0\1337KARA_27882_01.zip
1-3-5-7;0\1-3-5-7B_22858_01.zip
1-3-5-7;0\1-3-5-7_09711_01.zip
14-15 Puzzle, The;0\14-15_13378_01.zip
15 Pietnastka;0\15PIETNA_00009_01.zip
15 Solitaire;0\15SOLITA_00010_01.zip
15-Puzzle, The;0\15PUZZLE_00011_01.zip
162 Police in Action;0\162POLIC_26756_01.zip
17 und 04;0\17UND04_10670_01.zip
17 und 4;0\17UND4_17111_01.zip
17+4;0\17UND4V4_14623_01.zip
17+4;0\17UND4V1_00012_01.zip
17+4;0\17UND4V3_12386_01.zip
17+4;0\17UND4V2_11177_01.zip
17+4 Deluxe;0\17UND4DE_25107_01.zip
1789;0\1789-0_13564_01.zip
18 Uhren;0\18UHREN_11659_01.zip
180;0\180_00013_01.zip
19 Part One - Boot Camp;0\19BOOTC0_00014_01.zip
1916;0\1916_19676_01.zip
1917;0\1917_26426_02.zip
1941 - The Secret Conflict;0\1941-TSC_25326_01.zip
1941 and ;0\1941HALF_28856_01.zip
1942;0\1942!_00015_03.zip
1942;0\1942_00016_02.zip
